indicator,date,rate
open,2023-04-21 20:00:00,106.15
high,2023-04-21 20:00:00,106.15
low,2023-04-21 20:00:00,106.15
close,2023-04-21 20:00:00,106.15
open,2023-04-21 19:43:00,106.2
high,2023-04-21 19:43:00,106.2
low,2023-04-21 19:43:00,106.2
close,2023-04-21 19:43:00,106.2
open,2023-04-21 19:21:00,106.26
high,2023-04-21 19:21:00,106.26
low,2023-04-21 19:21:00,106.26
close,2023-04-21 19:21:00,106.26
open,2023-04-21 19:10:00,106.2
high,2023-04-21 19:10:00,106.2
low,2023-04-21 19:10:00,106.2
close,2023-04-21 19:10:00,106.2
open,2023-04-21 19:08:00,106.22
high,2023-04-21 19:08:00,106.22
low,2023-04-21 19:08:00,106.22
close,2023-04-21 19:08:00,106.22
open,2023-04-21 19:05:00,106.2
high,2023-04-21 19:05:00,106.2
low,2023-04-21 19:05:00,106.2
close,2023-04-21 19:05:00,106.2
open,2023-04-21 19:00:00,106.1367
high,2023-04-21 19:00:00,106.1367
low,2023-04-21 19:00:00,106.1367
close,2023-04-21 19:00:00,106.1367
open,2023-04-21 18:45:00,106.17
high,2023-04-21 18:45:00,106.17
low,2023-04-21 18:45:00,106.17
close,2023-04-21 18:45:00,106.17
open,2023-04-21 18:43:00,106.27
high,2023-04-21 18:43:00,106.27
low,2023-04-21 18:43:00,106.27
close,2023-04-21 18:43:00,106.27
open,2023-04-21 18:37:00,106.2893
high,2023-04-21 18:37:00,106.2893
low,2023-04-21 18:37:00,106.2893
close,2023-04-21 18:37:00,106.2893
open,2023-04-21 18:33:00,106.2791
high,2023-04-21 18:33:00,106.2791
low,2023-04-21 18:33:00,106.2791
close,2023-04-21 18:33:00,106.2791
open,2023-04-21 18:27:00,106.15
high,2023-04-21 18:27:00,106.15
low,2023-04-21 18:27:00,106.14
close,2023-04-21 18:27:00,106.14
open,2023-04-21 18:20:00,106.23
high,2023-04-21 18:20:00,106.23
low,2023-04-21 18:20:00,106.23
close,2023-04-21 18:20:00,106.23
open,2023-04-21 18:18:00,106.293
high,2023-04-21 18:18:00,106.293
low,2023-04-21 18:18:00,106.293
close,2023-04-21 18:18:00,106.293
open,2023-04-21 18:03:00,106.36
high,2023-04-21 18:03:00,106.36
low,2023-04-21 18:03:00,106.36
close,2023-04-21 18:03:00,106.36
open,2023-04-21 18:00:00,106.358
high,2023-04-21 18:00:00,106.36
low,2023-04-21 18:00:00,106.3
close,2023-04-21 18:00:00,106.3
open,2023-04-21 17:54:00,106.3697
high,2023-04-21 17:54:00,106.37
low,2023-04-21 17:54:00,106.3697
close,2023-04-21 17:54:00,106.37
open,2023-04-21 17:51:00,106.3
high,2023-04-21 17:51:00,106.38
low,2023-04-21 17:51:00,106.3
close,2023-04-21 17:51:00,106.37
open,2023-04-21 17:48:00,106.37
high,2023-04-21 17:48:00,106.37
low,2023-04-21 17:48:00,106.37
close,2023-04-21 17:48:00,106.37
open,2023-04-21 17:44:00,106.35
high,2023-04-21 17:44:00,106.35
low,2023-04-21 17:44:00,106.35
close,2023-04-21 17:44:00,106.35
open,2023-04-21 17:42:00,106.35
high,2023-04-21 17:42:00,106.35
low,2023-04-21 17:42:00,106.35
close,2023-04-21 17:42:00,106.35
open,2023-04-21 17:38:00,106.47
high,2023-04-21 17:38:00,106.47
low,2023-04-21 17:38:00,106.47
close,2023-04-21 17:38:00,106.47
open,2023-04-21 17:37:00,106.39
high,2023-04-21 17:37:00,106.39
low,2023-04-21 17:37:00,106.39
close,2023-04-21 17:37:00,106.39
open,2023-04-21 17:34:00,106.5
high,2023-04-21 17:34:00,106.5
low,2023-04-21 17:34:00,106.5
close,2023-04-21 17:34:00,106.5
open,2023-04-21 17:33:00,106.41
high,2023-04-21 17:33:00,106.41
low,2023-04-21 17:33:00,106.41
close,2023-04-21 17:33:00,106.41
open,2023-04-21 17:32:00,106.4
high,2023-04-21 17:32:00,106.4
low,2023-04-21 17:32:00,106.4
close,2023-04-21 17:32:00,106.4
open,2023-04-21 17:31:00,106.22
high,2023-04-21 17:31:00,106.4
low,2023-04-21 17:31:00,106.22
close,2023-04-21 17:31:00,106.4
open,2023-04-21 17:29:00,106.2399
high,2023-04-21 17:29:00,106.2399
low,2023-04-21 17:29:00,106.2399
close,2023-04-21 17:29:00,106.2399
open,2023-04-21 17:28:00,106.2
high,2023-04-21 17:28:00,106.2
low,2023-04-21 17:28:00,106.2
close,2023-04-21 17:28:00,106.2
open,2023-04-21 17:27:00,106.11
high,2023-04-21 17:27:00,106.19
low,2023-04-21 17:27:00,106.11
close,2023-04-21 17:27:00,106.19
open,2023-04-21 17:25:00,106.08
high,2023-04-21 17:25:00,106.08
low,2023-04-21 17:25:00,106.08
close,2023-04-21 17:25:00,106.08
open,2023-04-21 17:19:00,106.03
high,2023-04-21 17:19:00,106.03
low,2023-04-21 17:19:00,106.03
close,2023-04-21 17:19:00,106.03
open,2023-04-21 17:18:00,106.05
high,2023-04-21 17:18:00,106.05
low,2023-04-21 17:18:00,106.03
close,2023-04-21 17:18:00,106.03
open,2023-04-21 17:17:00,106.04
high,2023-04-21 17:17:00,106.08
low,2023-04-21 17:17:00,106.04
close,2023-04-21 17:17:00,106.05
open,2023-04-21 17:15:00,106.03
high,2023-04-21 17:15:00,106.04
low,2023-04-21 17:15:00,106.02
close,2023-04-21 17:15:00,106.03
open,2023-04-21 17:14:00,106.0
high,2023-04-21 17:14:00,106.04
low,2023-04-21 17:14:00,106.0
close,2023-04-21 17:14:00,106.04
open,2023-04-21 17:13:00,105.96
high,2023-04-21 17:13:00,105.98
low,2023-04-21 17:13:00,105.96
close,2023-04-21 17:13:00,105.98
open,2023-04-21 17:10:00,105.95
high,2023-04-21 17:10:00,105.95
low,2023-04-21 17:10:00,105.95
close,2023-04-21 17:10:00,105.95
open,2023-04-21 17:04:00,105.93
high,2023-04-21 17:04:00,105.93
low,2023-04-21 17:04:00,105.93
close,2023-04-21 17:04:00,105.93
open,2023-04-21 17:01:00,105.94
high,2023-04-21 17:01:00,105.94
low,2023-04-21 17:01:00,105.94
close,2023-04-21 17:01:00,105.94
open,2023-04-21 16:58:00,105.95
high,2023-04-21 16:58:00,105.95
low,2023-04-21 16:58:00,105.95
close,2023-04-21 16:58:00,105.95
open,2023-04-21 16:57:00,105.95
high,2023-04-21 16:57:00,105.95
low,2023-04-21 16:57:00,105.95
close,2023-04-21 16:57:00,105.95
open,2023-04-21 16:56:00,105.95
high,2023-04-21 16:56:00,105.95
low,2023-04-21 16:56:00,105.95
close,2023-04-21 16:56:00,105.95
open,2023-04-21 16:52:00,105.95
high,2023-04-21 16:52:00,105.95
low,2023-04-21 16:52:00,105.95
close,2023-04-21 16:52:00,105.95
open,2023-04-21 16:45:00,105.95
high,2023-04-21 16:45:00,105.95
low,2023-04-21 16:45:00,105.95
close,2023-04-21 16:45:00,105.95
open,2023-04-21 16:43:00,105.95
high,2023-04-21 16:43:00,105.95
low,2023-04-21 16:43:00,105.95
close,2023-04-21 16:43:00,105.95
open,2023-04-21 16:39:00,105.95
high,2023-04-21 16:39:00,105.95
low,2023-04-21 16:39:00,105.95
close,2023-04-21 16:39:00,105.95
open,2023-04-21 16:38:00,105.95
high,2023-04-21 16:38:00,105.95
low,2023-04-21 16:38:00,105.95
close,2023-04-21 16:38:00,105.95
open,2023-04-21 16:36:00,105.95
high,2023-04-21 16:36:00,105.95
low,2023-04-21 16:36:00,105.95
close,2023-04-21 16:36:00,105.95
open,2023-04-21 16:35:00,105.95
high,2023-04-21 16:35:00,105.95
low,2023-04-21 16:35:00,105.95
close,2023-04-21 16:35:00,105.95
open,2023-04-21 16:34:00,105.95
high,2023-04-21 16:34:00,105.95
low,2023-04-21 16:34:00,105.95
close,2023-04-21 16:34:00,105.95
open,2023-04-21 16:32:00,105.95
high,2023-04-21 16:32:00,105.95
low,2023-04-21 16:32:00,105.95
close,2023-04-21 16:32:00,105.95
open,2023-04-21 16:29:00,105.92
high,2023-04-21 16:29:00,105.94
low,2023-04-21 16:29:00,105.92
close,2023-04-21 16:29:00,105.92
open,2023-04-21 16:28:00,105.92
high,2023-04-21 16:28:00,105.92
low,2023-04-21 16:28:00,105.92
close,2023-04-21 16:28:00,105.92
open,2023-04-21 16:27:00,105.92
high,2023-04-21 16:27:00,105.92
low,2023-04-21 16:27:00,105.92
close,2023-04-21 16:27:00,105.92
open,2023-04-21 16:25:00,105.9199
high,2023-04-21 16:25:00,105.92
low,2023-04-21 16:25:00,105.9199
close,2023-04-21 16:25:00,105.92
open,2023-04-21 16:21:00,105.94
high,2023-04-21 16:21:00,105.94
low,2023-04-21 16:21:00,105.94
close,2023-04-21 16:21:00,105.94
open,2023-04-21 16:20:00,105.94
high,2023-04-21 16:20:00,105.94
low,2023-04-21 16:20:00,105.94
close,2023-04-21 16:20:00,105.94
open,2023-04-21 16:18:00,105.95
high,2023-04-21 16:18:00,105.96
low,2023-04-21 16:18:00,105.95
close,2023-04-21 16:18:00,105.95
open,2023-04-21 16:17:00,105.9599
high,2023-04-21 16:17:00,105.9599
low,2023-04-21 16:17:00,105.9599
close,2023-04-21 16:17:00,105.9599
open,2023-04-21 16:16:00,105.9501
high,2023-04-21 16:16:00,105.9501
low,2023-04-21 16:16:00,105.95
close,2023-04-21 16:16:00,105.95
open,2023-04-21 16:13:00,105.96
high,2023-04-21 16:13:00,105.96
low,2023-04-21 16:13:00,105.96
close,2023-04-21 16:13:00,105.96
open,2023-04-21 16:11:00,105.91
high,2023-04-21 16:11:00,105.96
low,2023-04-21 16:11:00,105.91
close,2023-04-21 16:11:00,105.96
open,2023-04-21 16:10:00,105.95
high,2023-04-21 16:10:00,105.98
low,2023-04-21 16:10:00,105.91
close,2023-04-21 16:10:00,105.91
open,2023-04-21 16:09:00,105.95
high,2023-04-21 16:09:00,105.97
low,2023-04-21 16:09:00,105.95
close,2023-04-21 16:09:00,105.97
open,2023-04-21 16:08:00,105.95
high,2023-04-21 16:08:00,105.95
low,2023-04-21 16:08:00,105.95
close,2023-04-21 16:08:00,105.95
open,2023-04-21 16:06:00,105.94
high,2023-04-21 16:06:00,105.94
low,2023-04-21 16:06:00,105.94
close,2023-04-21 16:06:00,105.94
open,2023-04-21 16:05:00,105.94
high,2023-04-21 16:05:00,105.95
low,2023-04-21 16:05:00,105.94
close,2023-04-21 16:05:00,105.95
open,2023-04-21 16:04:00,105.94
high,2023-04-21 16:04:00,105.94
low,2023-04-21 16:04:00,105.94
close,2023-04-21 16:04:00,105.94
open,2023-04-21 16:02:00,105.96
high,2023-04-21 16:02:00,105.96
low,2023-04-21 16:02:00,105.96
close,2023-04-21 16:02:00,105.96
open,2023-04-21 16:01:00,105.91
high,2023-04-21 16:01:00,105.97
low,2023-04-21 16:01:00,105.91
close,2023-04-21 16:01:00,105.97
open,2023-04-21 16:00:00,105.905
high,2023-04-21 16:00:00,105.96
low,2023-04-21 16:00:00,105.895
close,2023-04-21 16:00:00,105.91
open,2023-04-21 15:59:00,105.885
high,2023-04-21 15:59:00,105.92
low,2023-04-21 15:59:00,105.855
close,2023-04-21 15:59:00,105.9
open,2023-04-21 15:58:00,105.9
high,2023-04-21 15:58:00,105.925
low,2023-04-21 15:58:00,105.865
close,2023-04-21 15:58:00,105.89
open,2023-04-21 15:57:00,105.835
high,2023-04-21 15:57:00,105.91
low,2023-04-21 15:57:00,105.8331
close,2023-04-21 15:57:00,105.9
open,2023-04-21 15:56:00,105.7
high,2023-04-21 15:56:00,105.83
low,2023-04-21 15:56:00,105.66
close,2023-04-21 15:56:00,105.82
open,2023-04-21 15:55:00,105.685
high,2023-04-21 15:55:00,105.72
low,2023-04-21 15:55:00,105.6
close,2023-04-21 15:55:00,105.71
open,2023-04-21 15:54:00,105.635
high,2023-04-21 15:54:00,105.72
low,2023-04-21 15:54:00,105.6201
close,2023-04-21 15:54:00,105.69
open,2023-04-21 15:53:00,105.62
high,2023-04-21 15:53:00,105.6399
low,2023-04-21 15:53:00,105.59
close,2023-04-21 15:53:00,105.635
open,2023-04-21 15:52:00,105.63
high,2023-04-21 15:52:00,105.64
low,2023-04-21 15:52:00,105.5901
close,2023-04-21 15:52:00,105.625
open,2023-04-21 15:51:00,105.61
high,2023-04-21 15:51:00,105.66
low,2023-04-21 15:51:00,105.59
close,2023-04-21 15:51:00,105.62
open,2023-04-21 15:50:00,105.63
high,2023-04-21 15:50:00,105.64
low,2023-04-21 15:50:00,105.58
close,2023-04-21 15:50:00,105.61
open,2023-04-21 15:49:00,105.635
high,2023-04-21 15:49:00,105.645
low,2023-04-21 15:49:00,105.61
close,2023-04-21 15:49:00,105.63
open,2023-04-21 15:48:00,105.62
high,2023-04-21 15:48:00,105.65
low,2023-04-21 15:48:00,105.6
close,2023-04-21 15:48:00,105.63
open,2023-04-21 15:47:00,105.66
high,2023-04-21 15:47:00,105.66
low,2023-04-21 15:47:00,105.59
close,2023-04-21 15:47:00,105.615
open,2023-04-21 15:46:00,105.65
high,2023-04-21 15:46:00,105.725
low,2023-04-21 15:46:00,105.645
close,2023-04-21 15:46:00,105.66
open,2023-04-21 15:45:00,105.59
high,2023-04-21 15:45:00,105.67
low,2023-04-21 15:45:00,105.58
close,2023-04-21 15:45:00,105.6499
open,2023-04-21 15:44:00,105.555
high,2023-04-21 15:44:00,105.64
low,2023-04-21 15:44:00,105.55
close,2023-04-21 15:44:00,105.59
open,2023-04-21 15:43:00,105.63
high,2023-04-21 15:43:00,105.6655
low,2023-04-21 15:43:00,105.56
close,2023-04-21 15:43:00,105.56
open,2023-04-21 15:42:00,105.605
high,2023-04-21 15:42:00,105.67
low,2023-04-21 15:42:00,105.605
close,2023-04-21 15:42:00,105.635
open,2023-04-21 15:41:00,105.63
high,2023-04-21 15:41:00,105.64
low,2023-04-21 15:41:00,105.59
close,2023-04-21 15:41:00,105.6
open,2023-04-21 15:40:00,105.7
high,2023-04-21 15:40:00,105.7
low,2023-04-21 15:40:00,105.63
close,2023-04-21 15:40:00,105.63
open,2023-04-21 15:39:00,105.73
high,2023-04-21 15:39:00,105.745
low,2023-04-21 15:39:00,105.71
close,2023-04-21 15:39:00,105.71
open,2023-04-21 15:38:00,105.705
high,2023-04-21 15:38:00,105.73
low,2023-04-21 15:38:00,105.69
close,2023-04-21 15:38:00,105.73
open,2023-04-21 15:37:00,105.68
high,2023-04-21 15:37:00,105.73
low,2023-04-21 15:37:00,105.67
close,2023-04-21 15:37:00,105.7005
open,2023-04-21 15:36:00,105.635
high,2023-04-21 15:36:00,105.68
low,2023-04-21 15:36:00,105.625
close,2023-04-21 15:36:00,105.68
open,2023-04-21 15:35:00,105.66
high,2023-04-21 15:35:00,105.69
low,2023-04-21 15:35:00,105.635
close,2023-04-21 15:35:00,105.635
open,2023-04-21 15:34:00,105.735
high,2023-04-21 15:34:00,105.74
low,2023-04-21 15:34:00,105.645
close,2023-04-21 15:34:00,105.66
open,2023-04-21 15:33:00,105.71
high,2023-04-21 15:33:00,105.73
low,2023-04-21 15:33:00,105.68
close,2023-04-21 15:33:00,105.725
open,2023-04-21 15:32:00,105.64
high,2023-04-21 15:32:00,105.72
low,2023-04-21 15:32:00,105.63
close,2023-04-21 15:32:00,105.71
